"","Anno","Mese","NaturaIncidente","Incidenti","Feriti","Morti"
"1",2001,1,"Altre cause",37,37,0
"2",2001,1,"Fuoriuscita, sbandamento",62,67,0
"3",2001,1,"Investimento pedone",204,232,4
"4",2001,1,"Scontro frontale",32,49,1
"5",2001,1,"Scontro frontale - laterale",482,758,1
"6",2001,1,"Scontro laterale",66,75,1
"7",2001,1,"Tamponamento",151,227,0
"8",2001,1,"Urto con ostacolo",86,99,1
"9",2001,1,"Urto con veicolo in fermata o sosta",113,146,0
"10",2001,2,"Altre cause",43,47,0
"11",2001,2,"Fuoriuscita, sbandamento",50,54,0
"12",2001,2,"Investimento pedone",147,169,4
"13",2001,2,"Scontro frontale",32,52,0
"14",2001,2,"Scontro frontale - laterale",483,734,3
"15",2001,2,"Scontro laterale",107,127,0
"16",2001,2,"Tamponamento",137,193,1
"17",2001,2,"Urto con ostacolo",58,68,1
"18",2001,2,"Urto con veicolo in fermata o sosta",131,172,2
"19",2001,3,"Altre cause",36,39,0
"20",2001,3,"Fuoriuscita, sbandamento",62,66,0
"21",2001,3,"Investimento pedone",198,224,2
"22",2001,3,"Scontro frontale",39,64,0
"23",2001,3,"Scontro frontale - laterale",560,874,2
"24",2001,3,"Scontro laterale",131,146,0
"25",2001,3,"Tamponamento",182,296,0
"26",2001,3,"Urto con ostacolo",69,80,2
"27",2001,3,"Urto con veicolo in fermata o sosta",142,188,1
"28",2001,4,"Altre cause",40,46,0
"29",2001,4,"Fuoriuscita, sbandamento",74,85,0
"30",2001,4,"Investimento pedone",119,137,3
"31",2001,4,"Scontro frontale",37,46,1
"32",2001,4,"Scontro frontale - laterale",548,845,1
"33",2001,4,"Scontro laterale",165,183,1
"34",2001,4,"Tamponamento",178,278,0
"35",2001,4,"Urto con ostacolo",64,81,1
"36",2001,4,"Urto con veicolo in fermata o sosta",144,203,1
"37",2001,5,"Altre cause",37,40,0
"38",2001,5,"Fuoriuscita, sbandamento",109,121,0
"39",2001,5,"Investimento pedone",193,222,1
"40",2001,5,"Scontro frontale",45,69,1
"41",2001,5,"Scontro frontale - laterale",616,929,1
"42",2001,5,"Scontro laterale",208,248,0
"43",2001,5,"Tamponamento",214,369,0
"44",2001,5,"Urto con ostacolo",94,109,0
"45",2001,5,"Urto con veicolo in fermata o sosta",181,246,1
"46",2001,6,"Altre cause",73,80,0
"47",2001,6,"Fuoriuscita, sbandamento",119,137,0
"48",2001,6,"Investimento pedone",205,257,2
"49",2001,6,"Scontro frontale",39,47,1
"50",2001,6,"Scontro frontale - laterale",701,1044,1
"51",2001,6,"Scontro laterale",207,244,4
"52",2001,6,"Tamponamento",223,328,0
"53",2001,6,"Urto con ostacolo",82,95,1
"54",2001,6,"Urto con veicolo in fermata o sosta",193,274,0
"55",2001,7,"Altre cause",72,82,0
"56",2001,7,"Fuoriuscita, sbandamento",110,119,0
"57",2001,7,"Investimento pedone",147,186,3
"58",2001,7,"Scontro frontale",37,54,0
"59",2001,7,"Scontro frontale - laterale",647,915,5
"60",2001,7,"Scontro laterale",192,227,0
"61",2001,7,"Tamponamento",202,312,0
"62",2001,7,"Urto con ostacolo",92,117,1
"63",2001,7,"Urto con veicolo in fermata o sosta",158,211,0
"64",2001,8,"Altre cause",40,43,0
"65",2001,8,"Fuoriuscita, sbandamento",50,58,1
"66",2001,8,"Investimento pedone",62,77,0
"67",2001,8,"Scontro frontale",20,31,0
"68",2001,8,"Scontro frontale - laterale",346,552,2
"69",2001,8,"Scontro laterale",80,97,1
"70",2001,8,"Tamponamento",110,184,0
"71",2001,8,"Urto con ostacolo",58,68,3
"72",2001,8,"Urto con veicolo in fermata o sosta",82,111,0
"73",2001,9,"Altre cause",70,81,0
"74",2001,9,"Fuoriuscita, sbandamento",92,100,1
"75",2001,9,"Investimento pedone",134,166,1
"76",2001,9,"Scontro frontale",28,41,1
"77",2001,9,"Scontro frontale - laterale",574,884,0
"78",2001,9,"Scontro laterale",184,212,2
"79",2001,9,"Tamponamento",194,309,1
"80",2001,9,"Urto con ostacolo",56,80,0
"81",2001,9,"Urto con veicolo in fermata o sosta",159,202,0
"82",2001,10,"Altre cause",49,55,0
"83",2001,10,"Fuoriuscita, sbandamento",90,97,0
"84",2001,10,"Investimento pedone",191,229,1
"85",2001,10,"Scontro frontale",44,65,1
"86",2001,10,"Scontro frontale - laterale",669,977,0
"87",2001,10,"Scontro laterale",196,230,1
"88",2001,10,"Tamponamento",197,299,2
"89",2001,10,"Urto con ostacolo",62,79,0
"90",2001,10,"Urto con veicolo in fermata o sosta",177,231,1
"91",2001,11,"Altre cause",50,53,0
"92",2001,11,"Fuoriuscita, sbandamento",91,95,0
"93",2001,11,"Investimento pedone",192,217,6
"94",2001,11,"Scontro frontale",35,54,0
"95",2001,11,"Scontro frontale - laterale",656,978,0
"96",2001,11,"Scontro laterale",161,183,0
"97",2001,11,"Tamponamento",188,323,0
