"","Anno","Mese","Municipio","Incidenti","Feriti","Morti"
"1",2001,1,NA,50,69,1
"2",2001,1,1,171,209,0
"3",2001,1,2,91,115,1
"4",2001,1,3,141,187,1
"5",2001,1,4,105,154,0
"6",2001,1,5,118,173,0
"7",2001,1,6,98,133,0
"8",2001,1,7,140,186,3
"9",2001,1,8,141,189,1
"10",2001,1,9,178,275,1
"11",2001,2,NA,41,59,0
"12",2001,2,1,161,210,1
"13",2001,2,2,90,136,1
"14",2001,2,3,147,200,1
"15",2001,2,4,122,165,1
"16",2001,2,5,95,129,0
"17",2001,2,6,104,139,1
"18",2001,2,7,113,150,2
"19",2001,2,8,159,213,3
"20",2001,2,9,156,215,1
"21",2001,3,NA,51,60,0
"22",2001,3,1,190,245,1
"23",2001,3,2,82,106,1
"24",2001,3,3,178,260,1
"25",2001,3,4,130,187,2
"26",2001,3,5,151,237,1
"27",2001,3,6,111,147,0
"28",2001,3,7,156,214,0
"29",2001,3,8,189,251,0
"30",2001,3,9,181,270,1
"31",2001,4,NA,47,63,1
"32",2001,4,1,164,219,0
"33",2001,4,2,110,141,1
"34",2001,4,3,177,250,0
"35",2001,4,4,161,233,1
"36",2001,4,5,128,186,0
"37",2001,4,6,95,130,1
"38",2001,4,7,128,188,0
"39",2001,4,8,158,221,1
"40",2001,4,9,201,273,3
"41",2001,5,NA,54,71,0
"42",2001,5,1,205,267,0
"43",2001,5,2,87,127,1
"44",2001,5,3,207,287,1
"45",2001,5,4,194,275,1
"46",2001,5,5,152,204,0
"47",2001,5,6,137,221,0
"48",2001,5,7,192,271,1
"49",2001,5,8,229,299,0
"50",2001,5,9,240,331,0
"51",2001,6,NA,53,81,1
"52",2001,6,1,237,293,1
"53",2001,6,2,137,186,0
"54",2001,6,3,211,315,0
"55",2001,6,4,178,247,1
"56",2001,6,5,202,260,2
"57",2001,6,6,156,197,0
"58",2001,6,7,206,278,1
"59",2001,6,8,222,307,2
"60",2001,6,9,240,342,1
"61",2001,7,NA,52,64,1
"62",2001,7,1,203,258,0
"63",2001,7,2,107,138,0
"64",2001,7,3,223,301,2
"65",2001,7,4,181,236,3
"66",2001,7,5,164,240,0
"67",2001,7,6,128,178,1
"68",2001,7,7,164,218,1
"69",2001,7,8,208,279,1
"70",2001,7,9,227,311,0
"71",2001,8,NA,24,37,0
"72",2001,8,1,85,129,1
"73",2001,8,2,64,88,2
"74",2001,8,3,112,167,0
"75",2001,8,4,84,117,0
"76",2001,8,5,87,137,2
"77",2001,8,6,64,88,1
"78",2001,8,7,84,127,0
