"","Anno","Mese","Incidenti","Feriti","Morti"
"1",2001,1,1233,1690,8
"2",2001,2,1188,1616,11
"3",2001,3,1419,1977,7
"4",2001,4,1369,1904,8
"5",2001,5,1697,2353,4
"6",2001,6,1842,2506,9
"7",2001,7,1657,2223,9
"8",2001,8,848,1221,7
"9",2001,9,1491,2075,6
"10",2001,10,1675,2262,6
"11",2001,11,1583,2170,6
"12",2001,12,1456,2001,5
"13",2002,1,1236,1699,7
"14",2002,2,1192,1594,11
"15",2002,3,1435,2021,3
"16",2002,4,1439,2039,10
"17",2002,5,1626,2213,6
"18",2002,6,1519,2047,7
"19",2002,7,1691,2287,8
"20",2002,8,792,1141,5
"21",2002,9,1536,2082,5
"22",2002,10,1778,2387,5
"23",2002,11,1700,2325,8
"24",2002,12,1423,2008,1
"25",2003,1,1236,1734,2
"26",2003,2,1146,1578,5
"27",2003,3,1479,2045,8
"28",2003,4,1407,1901,5
"29",2003,5,1749,2358,10
"30",2003,6,1627,2163,12
"31",2003,7,1423,1806,4
"32",2003,8,699,961,5
"33",2003,9,1404,1839,9
"34",2003,10,1706,2246,5
"35",2003,11,1437,1913,7
"36",2003,12,1406,1878,0
"37",2004,1,1211,1635,6
"38",2004,2,1132,1539,5
"39",2004,3,1298,1742,2
"40",2004,4,1391,1886,6
"41",2004,5,1578,2099,9
"42",2004,6,1577,2122,11
"43",2004,7,1529,2003,4
"44",2004,8,699,947,2
"45",2004,9,1460,1956,6
"46",2004,10,1710,2256,9
"47",2004,11,1375,1871,8
"48",2004,12,1356,1847,7
"49",2005,1,1068,1482,8
"50",2005,2,1098,1493,10
"51",2005,3,1185,1564,10
"52",2005,4,1309,1737,5
"53",2005,5,1540,2038,7
"54",2005,6,1436,1929,4
"55",2005,7,1425,1899,5
"56",2005,8,796,1069,4
"57",2005,9,1342,1787,10
"58",2005,10,1408,1871,7
"59",2005,11,1455,1954,5
"60",2005,12,1119,1560,8
"61",2006,1,1207,1628,8
"62",2006,2,940,1249,15
"63",2006,3,1296,1719,4
"64",2006,4,1174,1603,5
"65",2006,5,1411,1882,6
"66",2006,6,1465,1925,7
"67",2006,7,1342,1803,14
"68",2006,8,682,980,5
"69",2006,9,1263,1702,4
"70",2006,10,1471,1929,8
